PART_NO,KPDS,CAR_CLASS,PIDT,REPAIR_TYPE,TYPE_CODE,CONSTRUCT_NAME
87789TD899,气门油封,B-SEDAN,1-Jan-99,维修,易损件,发动机
87788TD899,气门油封,B-SEDAN,1-Jan-99,维修,易损件,发动机
82788TD899,气门油封,B-SEDAN,1-Jan-99,维修,易损件,发动机
89759VSEE9,凸轮轴罩盖总成,A0-SUV,17-Oct-07,维修,机能件,发动机
867484ECL9,缸盖垫,A-SEDAN,4-Jul-18,维修,易损件,发动机
897484V998,缸盖垫,A0-SEDAN,5-Mar-14,维修,易损件,发动机
84748V59E9,缸盖垫,B-SUV,17-Oct-07,维修,易损件,发动机
81748V39Y9,缸盖垫,B-SEDAN,17-Oct-07,维修,易损件,发动机
8870940F99,火花塞,A-SEDAN,5-May-16,通竞,火花塞,发动机
857094E7E9,火花塞,B-MPV,10-Jul-13,通竞,火花塞,发动机
847094P9E9,火花塞,B-SEDAN,1-Aug-16,通竞,火花塞,发动机
887094V999,火花塞,A0-SEDAN,5-Mar-14,通竞,火花塞,发动机
857094ANE9,火花塞,A-SEDAN,25-Feb-20,通竞,火花塞,发动机
827093G8E9,火花塞,B-SEDAN,6-Jul-18,通竞,火花塞,发动机
81709V8KL9,火花塞,A0-SUV,18-Apr-13,通竞,火花塞,发动机
86709V59E9,火花塞,B-SUV,9-Aug-16,通竞,火花塞,发动机
84709V29E9,火花塞,B-SUV,9-Aug-16,通竞,火花塞,发动机
85709VF899,火花塞,A0-SEDAN,15-May-08,通竞,火花塞,发动机
82709VF899,火花塞,A0-SEDAN,15-May-08,通竞,火花塞,发动机
82709VHJE9,火花塞,B-MPV,26-Jun-15,通竞,火花塞,发动机
8570E3E9E9,火花塞,B-SEDAN,10-Jan-18,通竞,火花塞,发动机
876894V899,缸盖罩,A0-SEDAN,5-Mar-14,维修,机能件,发动机
86689VHJE9,缸盖罩,B-MPV,10-Jul-13,维修,机能件,发动机
82689VSEE9,缸盖罩,A0-SUV,17-Oct-07,维修,机能件,发动机
856584E7E9,缸盖罩衬垫,B-MPV,10-Jul-13,维修,机能件,发动机
816584ECL9,缸盖罩衬垫,A-SEDAN,4-Jul-18,维修,机能件,发动机
826584V899,缸盖罩密封条,A0-SEDAN,5-Mar-14,维修,机能件,发动机
89658T9E99,缸盖罩衬垫,B-MPV,1-Jan-99,维修,机能件,发动机
84658TSE99,缸盖罩衬垫,B-MPV,30-Jul-02,维修,机能件,发动机
85658V59E9,缸盖罩衬垫,B-SUV,17-Oct-07,维修,机能件,发动机
83658V29E9,缸盖罩衬垫,B-SUV,17-Oct-07,维修,机能件,发动机
82658VF999,缸盖罩衬垫,A0-SEDAN,15-May-08,维修,机能件,发动机
82658VGEE9,缸盖罩衬垫,B-SEDAN,30-Jul-02,维修,机能件,发动机
82658VSEE9,缸盖罩衬垫,A0-SUV,17-Oct-07,维修,机能件,发动机
83658VXE99,缸盖罩衬垫,B-MPV,22-Sep-05,维修,机能件,发动机
856574E7E9,火花塞垫圈,B-MPV,10-Jul-13,维修,机能件,发动机
83657T9199,火花塞垫圈,B-SUV,24-Oct-00,维修,机能件,发动机
85657TGB99,火花塞垫圈,B-MPV,30-Jul-02,维修,机能件,发动机
886564K999,缸盖罩线圈管油封套件,B-SEDAN,9-May-13,维修,机能件,发动机
83648V29E9,缸盖罩衬垫,B-SUV,17-Oct-07,维修,机能件,发动机
8648640F99,缸盖盲孔塞,B-SEDAN,5-May-16,维修,机能件,发动机
89486T2799,缸盖盲孔塞,A0-SUV,19-Mar-03,维修,机能件,发动机
84989VEEE9,活塞,B-MPV,30-Jul-02,维修,机能件,发动机
8998840F98,活塞环组件,B-SEDAN,15-Apr-16,维修,机能件,发动机
819884E7E8,活塞环,B-MPV,28-Sep-15,维修,机能件,发动机
819884V998,活塞环组件,A0-SEDAN,22-May-14,维修,机能件,发动机
88988V59E9,活塞环,B-MPV,17-Oct-07,维修,机能件,发动机
86988VSEE9,活塞环,A0-SUV,14-Oct-08,维修,机能件,发动机
85988VDT99,活塞环,B-SEDAN,17-Oct-07,维修,机能件,发动机
81788TTQK9,连杆瓦,B-MPV,15-Oct-02,维修,易损件,发动机
88787VFF99,连杆瓦,B-SUV,17-Oct-07,维修,易损件,发动机
857854E7E9,连杆瓦,B-SUV,10-Jul-13,维修,易损件,发动机
84785TTQK9,连杆瓦,B-MPV,15-Oct-02,维修,易损件,发动机
82785VFF99,连杆瓦,B-SUV,17-Oct-07,维修,易损件,发动机
84784VFF99,连杆瓦,B-SUV,17-Oct-07,维修,易损件,发动机
86678TSE99,上主轴瓦,B-MPV,15-Oct-02,维修,易损件,发动机
84677TSE99,上主轴瓦,B-MPV,30-Jul-02,维修,易损件,发动机
87676TSE99,上主轴瓦,B-MPV,30-Jul-02,维修,易损件,发动机
86676VDT99,上主轴瓦,A0-SUV,17-Oct-07,维修,易损件,发动机
86675TSE99,上主轴瓦,B-MPV,15-Oct-02,维修,易损件,发动机
88658TSE99,下主轴瓦,B-MPV,15-Oct-02,维修,易损件,发动机
88656TSE99,下主轴瓦,B-MPV,30-Jul-02,维修,易损件,发动机
83558TSE99,链条,B-MPV,30-Jul-02,维修,易损件,发动机
89558V59E9,链条,B-SUV,17-Oct-07,维修,易损件,发动机
82549TSE99,平衡轴链条张紧器,B-MPV,30-Jul-02,维修,机能件,发动机
86549VIDE9,平衡轴链条张紧器,B-SUV,20-Dec-07,维修,机能件,发动机
886894E5L9,VTC执行机,B-MPV,10-Jul-13,维修,机能件,发动机
89689V59E9,ＶＴＣ执行机构总成,B-SUV,17-Oct-07,维修,机能件,发动机
846694ECL9,VTC执行机,A-SEDAN,4-Jul-18,维修,机能件,发动机
835994ECL9,正时皮带,A-SEDAN,4-Jul-18,维修,易损件,易损件
87598VSEE9,链条,A0-SUV,17-Oct-07,维修,易损件,易损件
854894ECL9,链条张紧器,A-SEDAN,4-Jul-18,维修,机能件,易损件
81489VGEE9,张紧轮,B-SEDAN,30-Jul-02,维修,机能件,易损件
89489VSEE9,链条张紧器,A0-SUV,17-Oct-07,维修,机能件,易损件
844794E7E9,摇臂组件,B-MPV,10-Jul-13,维修,机能件,发动机
834794V999,凸轮轴链条张紧臂,A0-SEDAN,5-Mar-14,维修,机能件,发动机
864694E7E9,链条导管,B-MPV,10-Jul-13,维修,机能件,发动机
814694V999,凸轮轴链条导板,A0-SEDAN,5-Mar-14,维修,机能件,发动机
814594V999,凸轮轴链条导板B,A-SEDAN,5-Mar-14,维修,机能件,发动机
85449VGEE9,正时皮带惰轮,B-SEDAN,30-Jul-02,维修,机能件,发动机
87448VGEE9,正时皮带惰轮螺栓,B-SEDAN,30-Jul-02,维修,机能件,发动机
874394E7E9,链条张紧器滤网,B-SEDAN,5-Dec-13,维修,机能件,发动机
812884E5L9,进气门,B-MPV,10-Jul-13,维修,机能件,发动机
832884V6L9,进气门,A-SEDAN,14-Jan-15,维修,机能件,发动机
81288TSE99,进气门,B-MPV,30-Jul-02,维修,机能件,发动机
84288V8KL9,进气门,A0-SUV,22-Aug-07,维修,机能件,发动机
81288V59E9,进气门,B-SUV,22-Aug-07,维修,机能件,发动机
87288VCIE9,进气门,B-SEDAN,22-Aug-07,维修,机能件,发动机
882784E5L9,排气门,B-MPV,10-Jul-13,维修,机能件,发动机
822784V6L9,排气门,A0-SEDAN,14-Jan-15,维修,机能件,发动机
83278TSE99,排气门,B-MPV,30-Jul-02,维修,机能件,发动机
89278TBP99,排气门,B-SUV,30-Jul-02,维修,机能件,发动机
82278V8KL9,排气门,A0-SUV,22-Aug-07,维修,机能件,发动机
82278V59E9,排气门,B-SUV,22-Aug-07,维修,机能件,发动机
838594ECL9,回油泵轴,A-SEDAN,4-Jul-18,维修,机能件,发动机
81778VCIE9,Ｏ型圈,B-SEDAN,22-Aug-07,维修,机能件,发动机
876974K9E9,橡胶衬垫,B-SEDAN,9-May-13,维修,机能件,发动机
85687V59E9,Ｏ形圈,B-SUV,17-Oct-07,维修,机能件,发动机
894694ECL9,供油管组件,A-SEDAN,19-Jul-18,维修,机能件,发动机
8846640F99,T/C供油过滤器组件,B-SEDAN,5-May-16,维修,机能件,发动机
814554ECL9,回油管垫片,A-SEDAN,4-Jul-18,维修,机能件,发动机
87389VKE99,机油滤清器帽,B-SEDAN,24-Sep-07,维修,机能件,发动机
873494E7E9,油标尺组件,B-MPV,10-Jul-13,维修,机能件,发动机
811894F9C9,阀总成,B-MPV,10-Jul-13,维修,机能件,发动机
811894V999,VTEC阀总成,A-SEDAN,5-Mar-14,维修,机能件,发动机
82189VAP99,油压阀,A0-SEDAN,22-Aug-07,维修,机能件,发动机
89188V5999,VTEC油压阀,B-SUV,22-Aug-07,维修,机能件,发动机
891844E7E9,油压阀滤网,B-MPV,10-Jul-13,维修,机能件,发动机
821844V999,油压阀滤网,A-SEDAN,5-Mar-14,维修,机能件,发动机
88184V59E9,油压阀滤网,B-SUV,22-Aug-07,维修,机能件,发动机
89174T1EE9,电磁阀过滤器总成,B-SEDAN,24-Oct-00,保养,滤清器,保养
81174VF999,滤清器总成,A0-SEDAN,15-Mar-08,保养,滤清器,保养
88173VSEE9,电磁阀过滤器总成,B-SEDAN,22-Aug-07,保养,滤清器,保养
821694E5L9,阀门总成,B-MPV,10-Jul-13,维修,机能件,发动机
871694ECL9,VTC机油控制阀总成,A-SEDAN,4-Jul-18,维修,机能件,发动机
89169VFF99,阀门总成,B-SUV,9-Sep-02,维修,机能件,发动机
87167TSE97,Ｏ型圈,A0-SEDAN,30-Jul-02,维修,机能件,发动机
84159VEEE9,过滤器总成,B-SUV,30-Jul-02,保养,滤清器,保养
871544E7E9,VTC滤网,B-MPV,10-Jul-13,维修,机能件,发动机
88154VEEE9,VTC滤网,B-SUV,30-Jul-02,维修,机能件,发动机
861094ECL9,控制阀门,A-SEDAN,4-Jul-18,维修,机能件,发动机
849894EC69,喷油嘴组件,A-SEDAN,4-Jul-18,维修,机能件,发动机
819894FJ69,喷油嘴套件,B-SUV,14-Jan-20,维修,机能件,发动机
879894TE69,喷油嘴套件,B-SEDAN,16-Dec-16,维修,机能件,发动机
88989WHKL9,燃油滤清器,B-SEDAN,27-Sep-02,通竞,燃滤,发动机
89823VEEE9,节气门衬垫,B-MPV,30-Jul-02,维修,机能件,发动机
875493G8Y9,喷油嘴,B-SEDAN,6-Jul-18,维修,机能件,发动机
87549V8EL9,喷油嘴,A0-SUV,18-Nov-11,维修,机能件,发动机
83549V8TL9,喷油嘴,B-SEDAN,10-Jul-13,维修,机能件,发动机
86549V59E9,喷油嘴,B-MPV,17-Oct-07,维修,机能件,发动机
84549V59C9,喷油嘴,B-MPV,20-Dec-07,维修,机能件,发动机
82549VDT99,喷油嘴,B-SEDAN,17-Oct-07,维修,机能件,发动机
83274VSEE9,支座,B-SEDAN,25-Nov-10,维修,机能件,发动机
842094TGL9,燃油泵,B-SEDAN,11-Jan-17,维修,机能件,发动机
84954X7EE9,汽油泵,B-SEDAN,10-Jul-13,维修,机能件,发动机
86954X4F98,汽油泵,A0-SEDAN,18-Mar-14,维修,机能件,发动机
81954X3E98,汽油泵,B-MPV,3-Jun-14,维修,机能件,发动机
81954X3TL9,汽油泵,A-SEDAN,9-Apr-13,维修,机能件,发动机
84954X2NL9,汽油泵,A0-SUV,27-Aug-14,维修,机能件,发动机
85954X2RL9,汽油泵,A0-SUV,6-Mar-15,维修,机能件,发动机
89954XQEB9,汽油泵,B-SUV,17-Feb-17,维修,机能件,发动机
83954XZIL9,汽油泵,B-SEDAN,13-Jan-18,维修,机能件,发动机
89952X3E99,油箱浮子组件,B-MPV,3-Jun-14,维修,机能件,发动机
88951X7EE9,燃油滤清器,B-SEDAN,10-Jul-13,通竞,燃滤,发动机
87951X4E99,燃油滤清器,A0-SEDAN,18-Mar-14,通竞,燃滤,发动机
86951X3E99,燃油滤清器,B-MPV,3-Jun-14,通竞,燃滤,发动机
85951X2N99,燃油滤清器,A0-SUV,28-Aug-14,通竞,燃滤,发动机
82951X0EX9,燃油滤清器,A0-SEDAN,2-Jun-15,通竞,燃滤,发动机
86951XFXL9,燃油滤清器,A-SEDAN,8-Aug-18,通竞,燃滤,发动机
85951XFXL4,燃油滤清器组件,A-SEDAN,1-Feb-19,通竞,燃滤,发动机
83951XLEL4,燃油滤清器,B-SEDAN,7-Jun-18,通竞,燃滤,发动机
81951XPSL4,燃油滤清器组件,B-MPV,21-Feb-19,通竞,燃滤,发动机
83951XQEB9,燃油滤清器,B-SUV,22-Sep-16,通竞,燃滤,发动机
82951XZIL9,燃油滤清器,B-SEDAN,1-Mar-18,通竞,燃滤,发动机
828944EE99,进气歧管衬垫,B-SEDAN,5-May-16,维修,易损件,发动机
878944V999,进气歧管衬垫,A0-SEDAN,5-Mar-14,维修,易损件,发动机
828924EE99,节气门体垫,B-SEDAN,5-May-16,维修,易损件,发动机
878924V999,节气门体垫,A0-SEDAN,5-Mar-14,维修,易损件,发动机
89892V59E9,节气门衬垫,B-SUV,17-Oct-07,维修,易损件,发动机
84892VF999,节气门衬垫,A0-SEDAN,15-May-08,维修,易损件,发动机
89892VSEE9,节气门衬垫,B-SEDAN,17-Oct-07,维修,易损件,发动机
828844E7E9,进气歧管衬垫,B-SUV,10-Jul-13,维修,易损件,发动机
82884V59E9,进气歧管衬垫,B-SUV,17-Oct-07,维修,易损件,发动机
818774K9E9,发动机保护罩总成,B-SUV,10-Jul-13,维修,钣金件,发动机
8687440F99,进气管支架,A-SEDAN,11-Jan-17,维修,钣金件,发动机
828694E7E9,曲轴箱强制通风阀,B-MPV,9-May-13,维修,机能件,发动机
85869TSE99,曲轴箱强制通风阀,B-MPV,30-Jul-02,维修,机能件,发动机
8386840F99,PCV管,B-SEDAN,5-May-16,维修,机能件,发动机
84868V59E9,通风阀管,B-SUV,17-Oct-07,维修,机能件,发动机
89865VJKA9,通风管卡环,B-MPV,28-Sep-04,维修,机能件,发动机
82863TSE99,通风阀接头,B-MPV,30-Jul-02,维修,机能件,发动机
85863VINA9,通风管卡环,A0-SEDAN,19-Mar-03,维修,机能件,发动机
81861VEEE9,通气管,B-SEDAN,30-Jul-02,维修,机能件,发动机
86860TP899,密封圈,B-MPV,1-Jan-99,维修,机能件,发动机
89847VEEE9,橡胶圈,B-SEDAN,30-Jul-02,维修,机能件,发动机
89847VQ4E9,管子,B-MPV,12-Jun-09,维修,机能件,发动机
847984RCL9,空气滤清器壳总成,B-SUV,11-Jan-17,维修,机能件,发动机
897983T2L9,空气滤清器壳总成,A-SEDAN,4-Jul-18,维修,机能件,发动机
85798V59E9,空气滤清器壳,B-SUV,17-Oct-07,维修,机能件,发动机
87798VF999,空气滤清器壳总成,A0-SEDAN,25-Nov-10,维修,机能件,发动机
8879748FL9,空气滤清器壳,A0-SUV,6-Aug-14,维修,机能件,发动机
85783TS699,空滤器卡箍,B-SEDAN,1-Jan-99,维修,机能件,发动机
87782T7N69,空滤器卡箍,B-SEDAN,1-Jan-99,维修,机能件,发动机
88780T3499,卡夹,B-SEDAN,15-May-08,维修,机能件,发动机
8577948FL9,空气滤清器滤芯总成,A0-SUV,6-Aug-14,通竞,空滤,保养
867794E7E9,空气滤清器,B-SEDAN,10-Jul-13,通竞,空滤,保养
847794EEE9,空气滤清器滤芯总成,B-SEDAN,11-Jan-17,通竞,空滤,保养
857794FZL9,空气滤清器,B-MPV,6-Feb-18,通竞,空滤,保养
897794H9A9,空气滤清器,B-SEDAN,10-Jul-13,通竞,空滤,保养
887794K9E9,空气滤清器,B-SEDAN,10-Jul-13,通竞,空滤,保养
837794V999,空气滤清器滤芯总成,A0-SEDAN,5-Mar-14,通竞,空滤,保养
877794AEL9,空气滤清器,A0-SUV,5-May-16,通竞,空滤,保养
857794B3N9,空气滤清器,B-MPV,5-Jun-14,通竞,空滤,保养
817793E9E9,空气滤清器,B-SEDAN,10-Jan-18,通竞,空滤,保养
877793T2L9,空气滤清器,A-SEDAN,4-Jul-18,通竞,空滤,保养
887793X0L9,空气滤清器,A-SEDAN,25-Feb-20,通竞,空滤,保养
82779V29E9,空气滤清器,B-SUV,17-Oct-07,通竞,空滤,保养
847743E9E9,空滤器流管,B-SEDAN,10-Jan-18,维修,机能件,发动机
86774VV7L9,空滤器流管,A-SEDAN,14-Oct-08,维修,机能件,发动机
877733E9E9,空气管总成,B-SEDAN,10-Jan-18,维修,机能件,发动机
827723E9E9,管夹,B-SEDAN,10-Jan-18,保养,滤清器,发动机
867714H9A9,空滤器流管接头,B-SEDAN,10-Jul-13,维修,机能件,发动机
897714B3N9,空滤器流管接头,B-MPV,5-Jun-14,维修,机能件,发动机
827693B999,谐振舱总成,A0-SEDAN,5-Jun-20,维修,机能件,车体
817654V999,谐振室,A0-SEDAN,5-Mar-14,维修,机能件,车体
827653T2L9,谐振舱密封胶垫,A-SEDAN,4-Jul-18,维修,机能件,车体
837504V9N9,空气管紧固弹簧,A0-SEDAN,27-Sep-17,维修,机能件,发动机
887503T2L9,空气管紧固弹簧,A-SEDAN,4-Jul-18,维修,机能件,发动机
8674844R99,进气管,A0-SEDAN,27-May-15,维修,机能件,发动机
8474748FL9,进气管B组件,A0-SUV,6-Aug-14,维修,机能件,发动机
887474V999,空滤侧管子,A0-SEDAN,5-Mar-14,维修,机能件,发动机
827473S999,空滤侧管子,A0-SUV,19-Mar-19,维修,机能件,发动机
827473T2L9,空滤侧管子,A-SEDAN,4-Jul-18,维修,机能件,发动机
82747VJI99,连接管,B-MPV,28-Sep-04,维修,机能件,发动机
8474648FL9,进气管C总成,A0-SUV,6-Aug-14,维修,机能件,发动机
89746V39Y9,进风管,B-SEDAN,17-Oct-07,维修,机能件,发动机
86745V39Y9,管子,B-SEDAN,17-Oct-07,维修,机能件,发动机
85744V39Y9,盖,B-SEDAN,17-Oct-07,维修,机能件,发动机
827434N9E9,盖A,B-SUV,28-Feb-12,维修,机能件,发动机
847424N9E9,盖B,B-SUV,28-Feb-12,维修,机能件,发动机
867183E9E9,管子,B-SEDAN,10-Jan-18,维修,机能件,车体
897074RWL9,软管,B-SUV,3-Sep-16,维修,机能件,发动机
867073E9E9,管夹,B-SEDAN,10-Jan-18,维修,机能件,发动机
88699XZIL3,碳罐总成,B-SEDAN,13-Jan-18,维修,易损件,发动机
84699XAFL3,碳罐总成,B-SEDAN,9-Jun-18,维修,易损件,发动机
856844E7E9,空滤进气管卡箍,B-SEDAN,10-Jul-13,维修,机能件,发动机
86683VWBK9,管夹,B-SEDAN,11-Jan-17,维修,机能件,发动机
866823E9E9,卡箍,B-SEDAN,10-Jan-18,维修,机能件,发动机
81682VTCK9,卡箍,B-SUV,20-Jul-16,维修,机能件,发动机
856813T2L9,卡箍,A-SEDAN,4-Jul-18,维修,机能件,发动机
86608XAEE9,进气接头管L,B-SEDAN,9-Jun-18,维修,易损件,发动机
85420X2NL9,油箱油管护板,A0-SUV,27-Aug-14,维修,机能件,车体
81337W9E99,燃油加油管密封垫,A-SEDAN,19-Mar-03,维修,机能件,发动机
81179XC7E9,夹子,B-SUV,5-Aug-16,维修,机能件,发动机
889884R8L9,ERG阀体,A0-SUV,18-Apr-13,维修,机能件,发动机
88884V59E9,排气歧管衬垫,B-SUV,17-Oct-07,维修,易损件,底盘
888794EET9,排气歧管盖组件,B-SEDAN,5-May-16,维修,机能件,底盘
848794C6N9,三效催化转化器罩,B-SEDAN,10-Jan-18,维修,机能件,底盘
858394H7L4,三元催化器,A0-SUV,10-Jul-13,维修,易损件,发动机
85823T9199,螺栓,B-SEDAN,1-Jan-99,维修,机能件,底盘
83823TX999,螺栓,B-SUV,9-Jul-99,维修,机能件,底盘
81809V59L9,三元催化器,B-MPV,20-Dec-07,维修,易损件,发动机
83784W4EE8,排气管安装橡胶,B-MPV,16-Jan-04,维修,易损件,发动机
81784W15E7,排气管安装橡胶,B-SUV,24-Oct-00,维修,易损件,发动机
82784WIEN9,排气管安装橡胶,B-MPV,28-Sep-04,维修,易损件,发动机
85784WQ4E9,排气管安装橡胶,B-MPV,1-Jan-99,维修,易损件,发动机
85784XE9E9,排气管安装橡胶,B-SEDAN,17-Oct-07,维修,易损件,发动机
84784XE9E8,排气管安装橡胶,B-SUV,17-Oct-07,维修,易损件,发动机
86784XQ7E9,排气管安装橡胶,B-MPV,30-Jul-10,维修,易损件,发动机
88784XV2E9,排气管安装吊耳,B-SEDAN,5-May-16,维修,易损件,发动机
89779X2NL1,排气管 B,A0-SUV,6-Aug-14,维修,易损件,底盘
89770WIE98,排气接口垫,B-SUV,22-Aug-07,维修,易损件,底盘
85769WE906,挠性连接弹簧,A-SEDAN,19-Mar-03,维修,机能件,底盘
83769WZ599,挠性连接弹簧,A-SEDAN,30-Jul-02,维修,机能件,底盘
83768WV6E7,挠性连接螺栓,A0-SEDAN,30-Jul-02,维修,机能件,底盘
817664ECL9,密封垫A,A-SEDAN,4-Jul-18,维修,易损件,底盘
8176540F99,T/C密封垫,B-SEDAN,5-May-16,维修,易损件,底盘
84765VAGE9,密封垫,A-SEDAN,4-Jul-18,维修,易损件,底盘
84696WI8W9,消声器连接衬垫,B-MPV,21-Dec-03,维修,易损件,发动机
84692WQKL9,排气管消声器组件,B-MPV,12-Jun-09,维修,易损件,底盘
84692X26L9,消声器,B-SEDAN,10-Sep-19,维修,易损件,底盘
86692XFXL9,消音器,A-SEDAN,4-Jul-18,维修,易损件,底盘
86692XD1L9,消声器后（单）／ＣＢ３,B-SUV,28-Feb-12,维修,易损件,底盘
89689WJI99,排气管装饰件,B-MPV,28-Sep-04,维修,钣金件,底盘
86689XJWN4,消声器尾套,A0-SUV,19-Mar-19,维修,钣金件,底盘
85285VEEE9,通油口垫,B-MPV,30-Jul-02,维修,机能件,发动机
84284TF799,废气再循环阀垫,A-SEDAN,1-Jan-99,维修,易损件,发动机
820993E999,涡轮增压器总成,B-SEDAN,10-Jan-18,维修,机能件,发动机
860963E9E9,管组件,B-SEDAN,10-Jan-18,维修,机能件,发动机
839894EEE9,水箱组件,A0-SUV,19-Mar-19,维修,钣金件,发动机
899894TEE9,水箱组件,B-SEDAN,10-Sep-19,维修,钣金件,发动机
889893T2L9,水箱散热器,A-SEDAN,4-Jul-18,维修,钣金件,发动机
8998732869,放水螺栓,B-SEDAN,1-Jan-99,维修,机能件,发动机
899843T2L9,风扇护罩,A-SEDAN,4-Jul-18,维修,钣金件,发动机
839843A9L9,风扇护罩,B-MPV,5-Mar-19,维修,钣金件,发动机
87984V39Y9,风扇护罩,B-SEDAN,17-Oct-07,维修,钣金件,发动机
819794EEE9,冷却风扇,A0-SUV,13-May-16,维修,机能件,发动机
889793E9E9,风扇叶,B-SEDAN,10-Jan-18,维修,机能件,发动机
849694E7E9,风扇电机,B-SEDAN,10-Jul-13,维修,机能件,电器
889693T2L9,风扇电机,A-SEDAN,4-Jul-18,维修,机能件,电器
